itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLI7,Outer London - West and North West,2022,535000.0,480000.0,550000.0,1100000.0,685000.0,645000.0,420000.0,21361
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2022,410500.0,435000.0,400000.0,622500.0,415000.0,355000.0,245000.0,40077
TLJ2,"Surrey, East and West Sussex",2022,423625.0,430000.0,420000.0,675000.0,450000.0,385000.0,256500.0,51180
TLJ3,Hampshire and Isle of Wight,2022,335000.0,419972.5,325000.0,550000.0,358000.0,290000.0,185000.0,31886
TLJ4,Kent,2022,350000.0,400000.0,340000.0,545500.0,375500.0,306000.0,214995.0,30879
TLK3,Cornwall and Isles of Scilly,2022,295000.0,314950.0,290000.0,420000.0,275000.0,237000.0,180000.0,9921
TLK4,Devon,2022,285000.0,325000.0,277000.0,440000.0,290000.0,240000.0,161000.0,21785
TLK5,West of England,2022,344995.0,349000.0,341000.0,515000.0,352250.0,340510.0,247000.0,14753
TLK6,"North Somerset, Somerset and Dorset",2022,319000.0,338497.5,315000.0,471973.0,310000.0,265000.0,194700.0,28598
TLK7,Gloucestershire and Wiltshire,2022,310000.0,349000.0,300000.0,450000.0,305000.0,255000.0,163000.0,24014
TLL3,North Wales,2022,199950.0,269995.0,195000.0,292995.0,185000.0,145000.0,129950.0,10787
TLL4,Mid and South West Wales,2022,192000.0,245995.0,189997.5,310000.0,176000.0,142000.0,120000.0,12969
TLL5,South East Wales,2022,210000.0,296995.0,200000.0,365000.0,230000.0,160000.0,149950.0,23383
TLC3,Tees Valley,2023,161000.0,249950.0,149950.0,279995.0,158000.0,97500.0,87750.0,9007
TLC4,"Northumberland, Durham and Tyne & Wear",2023,167950.0,254950.0,154725.0,300000.0,170000.0,125000.0,107000.0,26293
TLD1,Cumbria,2023,194995.0,279972.5,182500.0,345000.0,185000.0,126000.0,134000.0,7830
TLD3,Greater Manchester,2023,222500.0,294995.0,215000.0,375000.0,245000.0,175000.0,177000.0,31042
TLD4,Lancashire,2023,180000.0,285995.0,167500.0,324995.0,190000.0,124000.0,110000.0,21041
TLD6,Cheshire,2023,267000.0,363995.0,250000.0,412618.0,245000.0,188500.0,145000.0,13998
TLD7,Merseyside,2023,184995.0,227995.0,180000.0,339995.0,210000.0,135000.0,120000.0,17426
TLE1,East Yorkshire and Northern Lincolnshire,2023,179950.0,259950.0,167500.0,301995.0,178000.0,125000.0,95000.0,12614
TLE2,North Yorkshire,2023,275000.0,324295.0,270000.0,411495.0,255000.0,225000.0,170000.0,12071
TLE3,South Yorkshire,2023,180000.0,250000.0,175000.0,300000.0,175000.0,140000.0,130500.0,16404
TLE4,West Yorkshire,2023,198000.0,283750.0,189000.0,364995.0,212000.0,150000.0,137500.0,27294
